component,parameter,value,meaning,status
Core OOF fusion stacker,dual,False,Exact scikit-learn estimator parameter recorded from the installed implementation.,scikit-learn 1.8.0
Core OOF fusion stacker,fit_intercept,True,Exact scikit-learn estimator parameter recorded from the installed implementation.,scikit-learn 1.8.0
Core OOF fusion stacker,intercept_scaling,1,Exact scikit-learn estimator parameter recorded from the installed implementation.,scikit-learn 1.8.0
Core OOF fusion stacker,l1_ratio,0.0,Exact scikit-learn estimator parameter recorded from the installed implementation.,scikit-learn 1.8.0
Core OOF fusion stacker,max_iter,2000,Exact scikit-learn estimator parameter recorded from the installed implementation.,scikit-learn 1.8.0
Core OOF fusion stacker,n_jobs,,Exact scikit-learn estimator parameter recorded from the installed implementation.,scikit-learn 1.8.0
Core OOF fusion stacker,penalty,deprecated,Exact scikit-learn estimator parameter recorded from the installed implementation.,scikit-learn 1.8.0
Core OOF fusion stacker,random_state,0,Exact scikit-learn estimator parameter recorded from the installed implementation.,scikit-learn 1.8.0
Core OOF fusion stacker,solver,lbfgs,Exact scikit-learn estimator parameter recorded from the installed implementation.,scikit-learn 1.8.0
Core OOF fusion stacker,tol,0.0001,Exact scikit-learn estimator parameter recorded from the installed implementation.,scikit-learn 1.8.0
Core OOF fusion stacker,verbose,0,Exact scikit-learn estimator parameter recorded from the installed implementation.,scikit-learn 1.8.0
Core OOF fusion stacker,warm_start,False,Exact scikit-learn estimator parameter recorded from the installed implementation.,scikit-learn 1.8.0
